,response_time,waiting_time,vehicle_density,trigger_density,info_value
1,164.00202011530138,317.96875,1.7959640609526067e-05,1.7959640609526067e-05,0.1998299282914506
2,372.26511549164957,523.828125,3.7911204803686634e-05,3.795099353945961e-05,0.2953703692532488
3,380.71740532449775,553.515625,5.8360128195009374e-05,5.8360128195009374e-05,0.3315449495559849
4,363.0496703594058,521.6796875,7.943075058278483e-05,7.944069776672809e-05,0.34886799664723755
5,391.32599717518696,554.6875,9.804690533256497e-05,9.804690533256497e-05,0.35540115824783225
6,670.7254931243966,831.0546875,0.00011601400633004847,0.00011705846064408902,0.3528454542352746
7,550.5721322971242,708.203125,0.00013913126181414628,0.00013979274954637196,0.35897369497852416
8,362.3608553291261,513.4765625,0.00016023918614170888,0.0001602416729376947,0.3657236588555262
9,459.42001698450616,620.3125,0.00017766167881829982,0.00017784570172124978,0.36388077375340105
10,524.7178040714264,685.546875,0.00019670804927362522,0.0001973645634138793,0.3632843965103695
11,738.6570166107153,894.53125,0.00020568538278240245,0.0002073018001731795,0.3585026155125294
12,742.988497998743,895.8984375,0.0002142797497093648,0.0002161373863107655,0.3587417323469918
13,679.1514466660901,836.71875,0.00021977059524603518,0.00022253342558627105,0.360339192872137
14,526.5007976945221,681.8359375,0.00022977000190498067,0.00023070752399163136,0.36440635748912176
15,732.7649027242879,897.4609375,0.0002305110671087523,0.00023308738775005235,0.35913040574853944
16,539.6866505443531,691.6015625,0.00023613122603668486,0.00023674297784919432,0.364315157958797
17,717.2929990232248,871.6796875,0.00023801373059794366,0.00024136593158681673,0.35994287478743925
18,669.8453538120921,837.890625,0.00023926956257077817,0.00024059502483121534,0.3607854213712852
19,686.3787943318233,843.359375,0.00023998327301870588,0.0002422711253256519,0.3606762587268803
20,518.6112414302634,675.0,0.0002440641052314215,0.00024464352869611543,0.3648832249150151
21,428.35129488273725,581.8359375,0.0002453448051641141,0.00024610327793978643,0.36719994462941924
22,714.6526677745355,874.0234375,0.00024700847167862157,0.0002491918785541635,0.360055782110981
23,697.5301290359876,854.6875,0.0002481275298722365,0.0002495872791159074,0.3605560522534843
24,708.9474362151911,862.5,0.00024748593650789725,0.0002512260776705568,0.3603563765530715
25,685.6749618724573,849.4140625,0.0002495077016443615,0.00025213624500136357,0.36071630342444694
26,425.7094061870512,581.25,0.00025382726627171494,0.0002540908666462109,0.3673787226962665
27,721.9669727470203,875.0,0.00025285741583724874,0.00025675173835102853,0.3601532472738842
28,694.8841334013727,850.0,0.0002527604307938021,0.000257403278899311,0.3607641978080568
29,731.8235109272756,887.5,0.00025526960794348524,0.0002574629620029704,0.35988606060644596
30,721.3776621645636,874.4140625,0.0002568014742707447,0.0002588953564907975,0.3602400271911378
31,731.2259273563627,890.625,0.00025797524197604746,0.00025998954672455427,0.35986399268411384
32,531.8929943548136,686.71875,0.0002577066680095799,0.00025986769372124955,0.36485624065895705
33,647.6099740613304,799.0234375,0.0002599621919687103,0.0002629239659878111,0.36213984696349694
34,744.3541912129298,893.75,0.0002581841328388556,0.00026340889120504425,0.3597886047979636
35,728.0781238782487,880.46875,0.0002582736574943448,0.0002647069987096375,0.3601176342133815
36,746.1490577951944,900.0,0.0002626205768775422,0.00026641542755188955,0.35970201222216214
37,735.469027881303,886.5234375,0.0002635183102284199,0.00026748474982578823,0.36005365991879507
38,740.4941114380124,887.5,0.0002641101676730429,0.0002683974039525808,0.36004316688664695
39,749.3469745681762,900.0,0.00026364762361968204,0.0002666914619063146,0.35972699203930014
40,731.7728752169669,885.9375,0.00026253353901803877,0.0002677408898123267,0.360054827458981
41,743.9035780520485,900.0,0.0002621804139880537,0.00026763147078895106,0.35970049550332284
42,749.0406514944563,899.0234375,0.0002625061842621949,0.0002685242305478572,0.35972757773221964
43,750.9690129196389,900.0,0.00026150151868392727,0.0002678900975714754,0.3596838415439311
44,742.7385705767304,900.0,0.0002608151629918435,0.00026586335884303956,0.3596784037736176
45,748.6546523792549,900.0,0.0002620436402088341,0.0002664029935719605,0.35968705545231605
46,745.9029215765204,900.0,0.00026431159814789356,0.0002675693008893058,0.3597256718433436
47,643.8231668404429,800.0,0.00026613939319746453,0.0002702799085138397,0.36221274634010897
48,748.3701108480934,899.21875,0.0002621008365165077,0.0002700884252229322,0.3597161626932258
49,747.9347145568222,900.0,0.00026676109219391723,0.00026986958717618083,0.3597697109087609
50,707.7198655307309,856.25,0.0002682854981332193,0.00027295570099457214,0.3608964324587146
51,746.3517306844651,900.0,0.00027268215343613294,0.0002754972064920708,0.3598524780193196
52,742.3816068592513,897.265625,0.00027078224130297344,0.0002757931352143823,0.3598981378849113
53,744.4263790876257,900.0,0.0002731223163256215,0.00027771542851141417,0.3598680382055368
54,414.24366824886044,575.0,0.0002761761017961972,0.0002773399223175567,0.3682064278483461
55,649.6434138932391,800.0,0.00027128457409210724,0.00027585779191001343,0.3622953073169291
56,732.2353327863029,893.75,0.00027106573604535587,0.0002755767839636168,0.35998179116349416
57,734.865626504178,887.5,0.00027066784868762613,0.0002751540286460289,0.3601420128972004
58,754.9985590740444,899.21875,0.0002714312950552701,0.0002775687075482513,0.3598634653823091
